"","S1 0.0302220873550097","S1 0.0840947532438576"
"filling_avg_temp",2,7
"filling_fq_Maximum_temperature..31",29,42
"filling_fq_Precipitation_amount..0.1",48,35
"filling_fq_Precipitation_amount..40",15,17
"filling_fq_Snow_depth..1",19,27
"filling_length_days",26,52
"filling_since_nyear_days",20,18
"filling_since_seed_days",38,29
"filling_sk_Maximum_temperature..31",22,24
"filling_sk_Precipitation_amount..0.1",41,34
"filling_sk_Precipitation_amount..40",58,49
"filling_sk_Snow_depth..1",53,46
"filling_total_prec",13,13
"generative_avg_temp",5,5
"generative_fq_Maximum_temperature..31",21,21
"generative_fq_Precipitation_amount..0.1",51,60
"generative_fq_Precipitation_amount..40",30,25
"generative_fq_Snow_depth..1",49,40
"generative_length_days",55,43
"generative_since_nyear_days",16,12
"generative_since_seed_days",39,32
"generative_sk_Maximum_temperature..31",28,28
"generative_sk_Precipitation_amount..0.1",37,30
"generative_sk_Precipitation_amount..40",52,53
"generative_sk_Snow_depth..1",36,31
"generative_total_prec",47,41
"NA_avg_temp",3,6
"NA_fq_Maximum_temperature..31",23,20
"NA_fq_Minimum_temperature...15",33,44
"NA_fq_Precipitation_amount..0.1",4,2
"NA_fq_Precipitation_amount..40",42,48
"NA_fq_Snow_depth..1",6,3
"NA_fq_Snow_depth..4",8,4
"NA_length_days",35,45
"NA_sk_Maximum_temperature..31",50,51
"NA_sk_Minimum_temperature...15",24,19
"NA_sk_Precipitation_amount..0.1",17,23
"NA_sk_Precipitation_amount..40",54,56
"NA_sk_Snow_depth..1",9,11
"NA_sk_Snow_depth..4",31,55
"NA_total_prec",10,10
"vegetative_avg_temp",32,47
"vegetative_fq_Maximum_temperature..31",61,61
"vegetative_fq_Precipitation_amount..0.1",12,16
"vegetative_fq_Precipitation_amount..40",56,54
"vegetative_fq_Snow_depth..1",34,26
"vegetative_fq_Snow_depth..4",60,57
"vegetative_length_days",46,36
"vegetative_since_nyear_days",11,8
"vegetative_sk_Maximum_temperature..31",57,59
"vegetative_sk_Precipitation_amount..0.1",18,22
"vegetative_sk_Precipitation_amount..40",44,37
"vegetative_sk_Snow_depth..1",40,33
"vegetative_sk_Snow_depth..4",59,58
"vegetative_total_prec",14,15
"critical_events",45,39
"filling",27,50
"generative",25,14
"NA.",7,9
"vegetative",43,38
"area",1,1
