"","S1 0.00633222693162609","S1 0.0446726091079472"
"filling_avg_temp",3,61
"filling_fq_Maximum_temperature..31",61,61
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",28,61
"filling_fq_Snow_depth..1",29,61
"filling_length_days",19,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",16,9
"filling_sk_Maximum_temperature..31",15,61
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",25,61
"filling_total_prec",21,11
"generative_avg_temp",5,10
"generative_fq_Maximum_temperature..31",26,61
"generative_fq_Precipitation_amount..0.1",61,61
"generative_fq_Precipitation_amount..40",22,61
"generative_fq_Snow_depth..1",31,13
"generative_length_days",27,8
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",23,61
"generative_sk_Precipitation_amount..0.1",35,61
"generative_sk_Precipitation_amount..40",30,61
"generative_sk_Snow_depth..1",32,7
"generative_total_prec",8,5
"NA_avg_temp",4,4
"NA_fq_Maximum_temperature..31",12,61
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",61,61
"NA_fq_Snow_depth..1",11,12
"NA_fq_Snow_depth..4",24,3
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",33,61
"NA_sk_Minimum_temperature...15",61,61
"NA_sk_Precipitation_amount..0.1",17,61
"NA_sk_Precipitation_amount..40",61,61
"NA_sk_Snow_depth..1",6,61
"NA_sk_Snow_depth..4",61,61
"NA_total_prec",14,61
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",61,61
"vegetative_fq_Precipitation_amount..0.1",9,61
"vegetative_fq_Precipitation_amount..40",34,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",18,6
"vegetative_sk_Maximum_temperature..31",61,61
"vegetative_sk_Precipitation_amount..0.1",10,61
"vegetative_sk_Precipitation_amount..40",36,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",20,61
"critical_events",61,61
"filling",13,61
"generative",61,61
"NA.",7,61
"vegetative",61,61
"area",1,1
