"","Lambda_0.101292427981862.Alpha_0","Lambda_0.0741759698042743.Alpha_0.25","Lambda_0.0407040176411939.Alpha_0.5","Lambda_0.0271360117607959.Alpha_0.75","Lambda_0.0324061534409236.Alpha_1"
"filling_avg_temp",12,0,0,0,0
"filling_fq_Maximum_temperature..31",-22,-10,0,0,0
"filling_fq_Precipitation_amount..0.1",26,0,0,0,0
"filling_fq_Precipitation_amount..40",-12,0,0,0,0
"filling_fq_Snow_depth..1",20,0,0,0,0
"filling_length_days",21,0,0,0,0
"filling_since_nyear_days",-17,0,0,0,0
"filling_since_seed_days",14,5,-4,-53,0
"filling_sk_Maximum_temperature..31",4,-10,0,0,0
"filling_sk_Precipitation_amount..0.1",4,0,0,0,0
"filling_sk_Precipitation_amount..40",-4,0,0,0,0
"filling_sk_Snow_depth..1",20,0,0,0,0
"filling_total_prec",31,10,4,4,0
"generative_avg_temp",-14,-6,-7,-6,-1
"generative_fq_Maximum_temperature..31",-37,0,0,0,0
"generative_fq_Precipitation_amount..0.1",1,0,0,0,0
"generative_fq_Precipitation_amount..40",-46,-4,-47,0,0
"generative_fq_Snow_depth..1",4,-2,-5,-1,53
"generative_length_days",14,0,-2,-1,0
"generative_since_nyear_days",-13,0,0,0,0
"generative_since_seed_days",17,0,0,0,0
"generative_sk_Maximum_temperature..31",-34,0,0,0,0
"generative_sk_Precipitation_amount..0.1",-6,0,0,0,0
"generative_sk_Precipitation_amount..40",-49,-9,-50,0,0
"generative_sk_Snow_depth..1",-1,5,3,2,0
"generative_total_prec",2,1,7,5,54
"NA_avg_temp",14,-1,-2,-2,0
"NA_fq_Maximum_temperature..31",-36,-13,0,0,0
"NA_fq_Minimum_temperature...15",46,0,0,0,0
"NA_fq_Precipitation_amount..0.1",30,12,5,3,3
"NA_fq_Precipitation_amount..40",-25,0,0,0,0
"NA_fq_Snow_depth..1",39,11,1,-50,0
"NA_fq_Snow_depth..4",34,9,6,4,-1
"NA_length_days",21,0,0,0,0
"NA_sk_Maximum_temperature..31",-39,-5,-45,0,0
"NA_sk_Minimum_temperature...15",18,0,0,0,0
"NA_sk_Precipitation_amount..0.1",19,0,0,0,0
"NA_sk_Precipitation_amount..40",-35,0,0,0,0
"NA_sk_Snow_depth..1",18,0,0,0,0
"NA_sk_Snow_depth..4",2,0,0,0,0
"NA_total_prec",41,4,0,0,0
"vegetative_avg_temp",1,0,0,0,0
"vegetative_fq_Maximum_temperature..31",-32,0,0,0,0
"vegetative_fq_Precipitation_amount..0.1",-2,0,0,0,0
"vegetative_fq_Precipitation_amount..40",-45,0,0,0,0
"vegetative_fq_Snow_depth..1",11,0,0,0,0
"vegetative_fq_Snow_depth..4",-49,0,0,0,0
"vegetative_length_days",2,0,0,0,0
"vegetative_since_nyear_days",11,1,-2,-2,-1
"vegetative_sk_Maximum_temperature..31",-41,0,0,0,0
"vegetative_sk_Precipitation_amount..0.1",14,42,0,0,0
"vegetative_sk_Precipitation_amount..40",-33,0,0,0,0
"vegetative_sk_Snow_depth..1",-6,0,0,0,0
"vegetative_sk_Snow_depth..4",-52,0,0,0,0
"vegetative_total_prec",23,0,0,0,0
"critical_events",18,0,0,0,0
"filling",5,0,0,0,0
"generative",18,0,0,0,0
"NA.",39,0,0,0,0
"vegetative",23,0,0,0,0
"area",13,0,0,0,0
