"","Lambda_0.0302220873550097.Alpha_0","Lambda_0.0105142520898908.Alpha_0.25","Lambda_0.0160545033162957.Alpha_0.5","Lambda_0.00290970560076945.Alpha_0.75","Lambda_0.00802725165814787.Alpha_1"
"filling_avg_temp",9,4,58,1,57
"filling_fq_Maximum_temperature..31",-10,0,0,0,0
"filling_fq_Precipitation_amount..0.1",23,0,0,0,0
"filling_fq_Precipitation_amount..40",-8,-11,-19,-6,-7
"filling_fq_Snow_depth..1",22,10,32,-13,56
"filling_length_days",10,10,42,3,0
"filling_since_nyear_days",-9,0,0,0,0
"filling_since_seed_days",8,-7,-5,40,-17
"filling_sk_Maximum_temperature..31",3,-12,-7,-7,-19
"filling_sk_Precipitation_amount..0.1",9,0,0,0,0
"filling_sk_Precipitation_amount..40",-5,0,0,0,0
"filling_sk_Snow_depth..1",22,9,36,11,37
"filling_total_prec",33,18,-3,24,9
"generative_avg_temp",5,-2,-2,-3,2
"generative_fq_Maximum_temperature..31",-37,-12,35,-12,42
"generative_fq_Precipitation_amount..0.1",-8,19,0,-32,0
"generative_fq_Precipitation_amount..40",-42,-18,-17,-8,-13
"generative_fq_Snow_depth..1",-2,-12,-17,-25,0
"generative_length_days",8,-4,-11,-20,0
"generative_since_nyear_days",-6,0,0,0,0
"generative_since_seed_days",14,0,0,0,0
"generative_sk_Maximum_temperature..31",-42,-15,38,-12,33
"generative_sk_Precipitation_amount..0.1",1,1,26,-2,38
"generative_sk_Precipitation_amount..40",-45,-24,-24,-9,-12
"generative_sk_Snow_depth..1",-2,4,-11,-22,0
"generative_total_prec",1,5,11,25,-2
"NA_avg_temp",10,2,3,2,-11
"NA_fq_Maximum_temperature..31",-39,-30,-11,-15,-27
"NA_fq_Minimum_temperature...15",46,0,0,0,0
"NA_fq_Precipitation_amount..0.1",30,18,11,20,9
"NA_fq_Precipitation_amount..40",-23,20,0,-23,0
"NA_fq_Snow_depth..1",27,19,4,9,2
"NA_fq_Snow_depth..4",39,23,-7,-30,-44
"NA_length_days",35,0,0,0,0
"NA_sk_Maximum_temperature..31",-37,-17,-31,-12,-19
"NA_sk_Minimum_temperature...15",16,1,0,0,0
"NA_sk_Precipitation_amount..0.1",6,4,44,-4,41
"NA_sk_Precipitation_amount..40",-31,26,0,-43,0
"NA_sk_Snow_depth..1",-21,14,55,8,53
"NA_sk_Snow_depth..4",1,19,0,-27,31
"NA_total_prec",42,21,6,24,6
"vegetative_avg_temp",1,0,0,0,0
"vegetative_fq_Maximum_temperature..31",-33,-20,0,-53,36
"vegetative_fq_Precipitation_amount..0.1",-8,-10,52,1,49
"vegetative_fq_Precipitation_amount..40",-41,-28,27,-20,29
"vegetative_fq_Snow_depth..1",14,0,0,0,0
"vegetative_fq_Snow_depth..4",-41,0,0,0,0
"vegetative_length_days",7,0,0,0,0
"vegetative_since_nyear_days",8,7,-8,-5,0
"vegetative_sk_Maximum_temperature..31",-52,-21,0,-48,28
"vegetative_sk_Precipitation_amount..0.1",14,6,2,6,4
"vegetative_sk_Precipitation_amount..40",-29,-5,25,8,27
"vegetative_sk_Snow_depth..1",-2,0,0,0,0
"vegetative_sk_Snow_depth..4",-43,0,0,0,0
"vegetative_total_prec",30,10,2,16,0
"critical_events",16,0,0,0,0
"filling",16,8,48,12,40
"generative",20,0,0,0,0
"NA.",37,20,54,16,48
"vegetative",19,0,0,0,0
"area",14,7,3,9,4
